,time,nodes,edges,best_w,iterations,T0,alpha
0,0.142559,64,192,59.0,10,100,0.9
1,0.110978,64,192,60.0,10,100,0.95
2,0.107652,64,192,59.0,10,100,0.99
3,0.106158,64,192,57.0,10,500,0.9
4,0.106068,64,192,59.0,10,500,0.95
5,0.104587,64,192,61.0,10,500,0.99
6,0.10678,64,192,54.0,10,1000,0.9
7,0.105682,64,192,60.0,10,1000,0.95
8,0.107103,64,192,60.0,10,1000,0.99
9,0.206922,64,192,40.0,100,100,0.9
10,0.210081,64,192,45.0,100,100,0.95
11,0.224179,64,192,49.0,100,100,0.99
12,0.208431,64,192,44.0,100,500,0.9
13,0.210052,64,192,43.0,100,500,0.95
14,0.225074,64,192,44.0,100,500,0.99
15,0.205846,64,192,41.0,100,1000,0.9
16,0.211392,64,192,44.0,100,1000,0.95
17,0.216723,64,192,46.0,100,1000,0.99
18,0.928213,64,192,39.0,1000,100,0.9
19,0.873384,64,192,39.0,1000,100,0.95
20,1.005858,64,192,40.0,1000,100,0.99
21,0.855218,64,192,39.0,1000,500,0.9
22,0.88046,64,192,39.0,1000,500,0.95
23,1.063807,64,192,40.0,1000,500,0.99
24,0.913617,64,192,40.0,1000,1000,0.9
25,0.910714,64,192,41.0,1000,1000,0.95
26,1.159945,64,192,39.0,1000,1000,0.99
